department,program,lib_link,year,thesis_in_that_year,thesis_link
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&1%2C1%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&2%2C2%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&3%2C3%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&4%2C4%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&5%2C5%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&6%2C6%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&7%2C7%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&8%2C8%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&9%2C9%2C
Economics,MA,http://tinyurl.com/gplxltt,2007,35,/search?/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A/X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&SUBKEY=+%22CEU+Economics+Department+master+theses%22/1%2C35%2C35%2CB/frameset&FF=X+%22CEU+Economics+Department+master+theses%22&b=&l=&Da=2007&Db=2007&p=&m=v&SORT=A&10%2C10%2C
